2018 REGULAR SEASON GAME LOG,RUSHING,RECEIVING,FUMBLES
DATE,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS,AVG,LNG,TD,FUM,LST
Mon 11/19,vs KC,W 54-51,12,55,4.6,24,0,3,39,13.0,19,0,0,0
Sun 11/11,vs SEA,W 36-31,16,120,7.5,17,1,3,40,13.3,20,0,0,0
Sun 11/4,@ NO,L 35-45,13,68,5.2,24,1,6,11,1.8,8,0,0,0
Sun 10/28,vs GB,W 29-27,25,114,4.6,23,0,6,81,13.5,32,1,0,0
Sun 10/21,@ SF,W 39-10,15,63,4.2,18,2,4,23,5.8,12,1,0,0
Sun 10/14,@ DEN,W 23-20,28,208,7.4,29,2,2,17,8.5,13,0,0,0
Sun 10/7,@ SEA,W 33-31,22,77,3.5,16,3,4,36,9.0,19,0,0,0
Thu 9/27,vs MIN,W 38-31,17,83,4.9,10,0,4,73,18.3,56,1,0,0
Sun 9/23,vs LAC,W 35-23,23,105,4.6,14,1,5,51,10.2,25,0,1,1
Sun 9/16,vs ARI,W 34-0,19,42,2.2,11,3,3,31,10.3,15,0,0,0
Mon 9/10,@ OAK,W 33-13,20,108,5.4,23,0,3,39,13.0,19,1,0,0
REGULAR SEASON STATS,210,"1,043",5.0,29,13,43,441,10.3,56,4,1,1
